module,id
1_Immune,TCL1A
1_Immune,BLK
1_Immune,CD37
1_Immune,CD79B
1_Immune,BANK1
1_Immune,MS4A1
1_Immune,NIBAN3
1_Immune,CD52
1_Immune,FCMR
1_Immune,FCRL2
1_Immune,FCER2
1_Immune,FCRL1
1_Immune,HVCN1
1_Immune,RASGRP2
1_Immune,PAX5
1_Immune,CD22
1_Immune,TNFRSF13C
1_Immune,P2RX5
1_Immune,CLEC17A
1_Immune,STAP1
1_Immune,SELL
1_Immune,SEL1L3
1_Immune,PRKCB
1_Immune,CD19
1_Immune,CD48
1_Immune,CXCR4
1_Immune,TLR10
1_Immune,IGHM
1_Immune,LTB
1_Immune,STK17B
2_Module_2,APOC3
2_Module_2,ALB
2_Module_2,FGG
2_Module_2,FGB
2_Module_2,APOA2
2_Module_2,VTN
2_Module_2,HP
2_Module_2,APOA1
2_Module_2,TF
2_Module_2,AHSG
2_Module_2,ALDOB
2_Module_2,AMBP
2_Module_2,ITIH2
2_Module_2,APOB
2_Module_2,FABP1
2_Module_2,TTR
2_Module_2,APOH
2_Module_2,SERPINA1
2_Module_2,FGA
2_Module_2,ORM1
2_Module_2,HRG
2_Module_2,RBP4
2_Module_2,C8A
2_Module_2,ADH4
2_Module_2,F2
2_Module_2,PLG
2_Module_2,GC
2_Module_2,ITIH3
2_Module_2,PAH
2_Module_2,APOC2
3_Immune,IKZF1
3_Immune,TRBC2
3_Immune,TRBC1
3_Immune,TRAC
3_Immune,CORO1A
3_Immune,TBC1D10C
3_Immune,TRAF3IP3
3_Immune,CYTIP
3_Immune,IL2RG
3_Immune,TMC8
3_Immune,ARHGAP15
3_Immune,CD3E
3_Immune,CD2
3_Immune,LIMD2
3_Immune,IRF8
3_Immune,HCLS1
3_Immune,ETS1
3_Immune,GIMAP7
3_Immune,IL7R
3_Immune,CD3D
3_Immune,LCP1
3_Immune,RAC2
3_Immune,SEPTIN1
3_Immune,CD53
3_Immune,CCR7
3_Immune,RIPOR2
3_Immune,GIMAP4
3_Immune,GPSM3
3_Immune,FYB1
3_Immune,WIPF1
4_Module_4,C20orf85
4_Module_4,CDC20B
4_Module_4,KLK13
4_Module_4,GRIA2
4_Module_4,CDHR3
4_Module_4,TPPP3
4_Module_4,KLK11
4_Module_4,RALYL
4_Module_4,CFAP45
4_Module_4,KLK14
4_Module_4,CLCA2
4_Module_4,KLK12
4_Module_4,ROPN1L
4_Module_4,CFAP47
4_Module_4,FOXN4
4_Module_4,MUC1
4_Module_4,ZNF385B
4_Module_4,MSMB
4_Module_4,MUCL1
4_Module_4,VSTM2L
4_Module_4,CROCC2
4_Module_4,VWA5A
4_Module_4,SRPK3
4_Module_4,C1orf189
4_Module_4,LRRC46
4_Module_4,C1orf194
4_Module_4,SYT5
4_Module_4,FAM183A
4_Module_4,FOXJ1
4_Module_4,EFCAB10
5_Luminal,WFDC2
5_Luminal,WWP1
5_Luminal,KCNC2
5_Luminal,CPB1
5_Luminal,SLC16A6
5_Luminal,CHPT1
5_Luminal,LPCAT1
5_Luminal,UGCG
5_Luminal,LRP1B
5_Luminal,CPEB4
5_Luminal,ANKRD30A
5_Luminal,SLC6A4
5_Luminal,IGSF21
5_Luminal,C15orf48
5_Luminal,BEX3
5_Luminal,RNF19A
5_Luminal,TAT
5_Luminal,TMEM26
5_Luminal,GRB14
5_Luminal,HACD4
5_Luminal,GP2
5_Luminal,CRABP2
5_Luminal,CRIP1
5_Luminal,BEX4
5_Luminal,CAMK2N1
5_Luminal,HIGD1A
5_Luminal,PHGR1
5_Luminal,COX6C
5_Luminal,SGK3
5_Luminal,CLSTN2
6_Module_6,CTSS
6_Module_6,CD74
6_Module_6,CYBB
6_Module_6,C1QA
6_Module_6,C1QC
6_Module_6,SPI1
6_Module_6,ADA2
6_Module_6,C1QB
6_Module_6,LYZ
6_Module_6,IL32
6_Module_6,CTSC
6_Module_6,IL10RA
6_Module_6,ITGB2
6_Module_6,B2M
6_Module_6,RASSF4
6_Module_6,CCL5
6_Module_6,GBP5
6_Module_6,APOE
6_Module_6,LCP2
6_Module_6,MS4A6A
6_Module_6,SRGN
6_Module_6,ITGAX
6_Module_6,PLEKHO1
6_Module_6,SAMHD1
6_Module_6,LAPTM5
6_Module_6,PLEK
6_Module_6,AIF1
6_Module_6,CD14
6_Module_6,LGMN
6_Module_6,AKR1B1
7_Module_7,BRINP3
7_Module_7,SCGN
7_Module_7,SNAP25
7_Module_7,PCSK2
7_Module_7,RUNDC3A
7_Module_7,KCNE4
